Asset,Alpha_Daily,Beta_Mkt,Beta_SMB,Beta_HML,R2
NKE,0.000342140787026688,0.976686806876453,-0.15114337170457,-0.175534360945608,0.316820811543454
ORCL,-0.000207378117528888,1.021774795133,-0.191075820272683,-0.0412651197643406,0.395486854938265
OXY,-0.00053034933156571,0.992211414695831,0.0860938059148981,0.705676702036041,0.338781292284742
PEP,0.000163179507435468,0.570711116195793,-0.521386182518946,-0.134338632475399,0.319296534010379
PFE,-4.90589257999558e-05,0.788587244431743,-0.258831876469543,-0.146267155389667,0.348971938960839
PG,0.000132427440953811,0.569908445843051,-0.506992725468034,-0.0782955574148638,0.268363047349131
PM,-0.000132262976025904,0.622243020119941,-0.392212293138333,-0.0354210404658084,0.180552429457355
QCOM,-0.000137467014664326,1.0545395831924,-0.081882202357924,-0.038708758509239,0.234065058587228
RTX,-4.65691986408051e-05,0.962666093445039,-0.0946128822303718,0.128208646426586,0.485007634159421
SCHW,0.000168296896268511,1.49000951671357,0.328755366187236,0.978677165359506,0.560243271215136
SO,0.000217753170746354,0.285397686333183,-0.424058700110645,-0.153578434312162,0.0987764572878711
SPGI,0.000395989484760995,1.10971405222608,-0.199483863874628,-0.160458974850095,0.450775224301938
T,4.42877318927707e-05,0.645199729932604,-0.259627906751562,0.227572078822104,0.246334008593506
TGT,0.000298028438427152,0.726224876590275,0.036516924726022,0.12593642783336,0.144484152890483
TMO,0.000353485554671332,1.09305246592581,-0.148791941857961,-0.333815571489325,0.513955052535835
TMUS,0.000515683346411163,0.913768817788751,0.065652111411951,-0.152644025963648,0.202193919869454
TXN,0.00030239967667316,1.21740821342055,-0.00712721430756984,-0.119223240349243,0.472932179200403
UNH,0.00056872034312399,0.901999188971876,-0.229830758096301,-0.151069834009381,0.308526268555556
UPS,-5.04471745052252e-05,0.891033104535586,-0.0477356194665897,0.234237752204851,0.398574730196698
USB,3.34170307775941e-05,0.973761712155509,-0.0351949255717376,0.779308945594299,0.663032614263276
V,0.000309540385590704,1.12667595953404,-0.296411537417672,-0.43374818719885,0.540221701122366
VZ,8.07273245952769e-05,0.573024666624497,-0.355019139276266,0.131729678394296,0.205139957201783
WBA,-8.68862121885713e-05,0.947369009159264,-0.124298376448636,-0.0450483819032477,0.245942779707279
WFC,-5.19059866525737e-05,1.0710995583664,-0.056160010864727,0.933731430985882,0.623565630259554
WMT,9.23769044572127e-05,0.606993891272308,-0.363169174432238,-0.0599303679955244,0.200274267595259
XOM,-0.000397635629427342,0.919077660325412,-0.244541237600291,0.561135404293268,0.483905676156194
