Date,Mkt-RF,SMB,HML,RF
2013-10-02,-0.001,-0.0037,-0.0007000000000000001,0.0
2013-10-03,-0.0089,-0.0018,0.0018,0.0
2013-10-04,0.0075,-0.0001,0.001,0.0
2013-10-07,-0.0095,-0.0027,0.0,0.0
2013-10-08,-0.013500000000000002,-0.0048,0.008,0.0
2013-10-09,-0.0005,-0.0044,0.0062,0.0
2013-10-10,0.0222,0.0016,-0.0004,0.0
2013-10-11,0.0070999999999999995,0.0079,0.0,0.0
2013-10-14,0.0043,0.0021,-0.001,0.0
2013-10-15,-0.0073,-0.002,0.0003,0.0
2013-10-16,0.0137,-0.0033,0.0015,0.0
2013-10-17,0.006999999999999999,0.0015,-0.0006,0.0
2013-10-18,0.0072,0.0029,0.0012,0.0
2013-10-21,-0.0002,-0.0011,0.0001,0.0
2013-10-22,0.0051,-0.0027,0.0004,0.0
2013-10-23,-0.0051,0.0015,-0.0032,0.0
2013-10-24,0.0042,0.0043,-0.003,0.0
2013-10-25,0.0033,-0.0033,0.0008,0.0
2013-10-28,0.0009,-0.0007000000000000001,0.0005,0.0
2013-10-29,0.0054,-0.0015,-0.0006,0.0
2013-10-30,-0.0059,-0.0078000000000000005,0.005,0.0
2013-10-31,-0.0033,-0.0008,-0.0045000000000000005,0.0
2013-11-01,0.002,-0.0067,0.0022,0.0
2013-11-04,0.004699999999999999,0.0077,-0.0006,0.0
2013-11-05,-0.0023,-0.0002,-0.0024,0.0
2013-11-06,0.0027,-0.0083,0.0033,0.0
2013-11-07,-0.014499999999999999,-0.0033,0.0014000000000000002,0.0
2013-11-08,0.0146,0.0052,0.0044,0.0
2013-11-11,0.0011,0.0,-0.0014000000000000002,0.0
2013-11-12,-0.0018,0.0040999999999999995,-0.006999999999999999,0.0
2013-11-13,0.009000000000000001,0.0011,-0.0011,0.0
2013-11-14,0.0042,-0.0058,0.003,0.0
2013-11-15,0.0044,0.0009,-0.0029,0.0
2013-11-18,-0.0049,-0.0045000000000000005,0.0046,0.0
2013-11-19,-0.0027,-0.0029,0.0025,0.0
2013-11-20,-0.0033,0.0028000000000000004,0.0002,0.0
2013-11-21,0.0096,0.0078000000000000005,-0.0003,0.0
2013-11-22,0.0049,-0.0004,0.0007000000000000001,0.0
2013-11-25,-0.0011,0.0014000000000000002,0.0013,0.0
2013-11-26,0.0017000000000000001,0.0084,-0.0040999999999999995,0.0
2013-11-27,0.003,0.0034000000000000002,-0.0004,0.0
2013-11-29,-0.0002,0.0029,-0.0015,0.0
2013-12-02,-0.0032,-0.0096,0.0014000000000000002,0.0
2013-12-03,-0.0034000000000000002,-0.0007000000000000001,-0.0009,0.0
2013-12-04,-0.0008,-0.0022,0.0029,0.0
2013-12-05,-0.0034000000000000002,0.006999999999999999,-0.0064,0.0
2013-12-06,0.0102,-0.003,0.0018,0.0
2013-12-09,0.0017000000000000001,-0.0042,0.0002,0.0
2013-12-10,-0.0034000000000000002,-0.005699999999999999,0.0023,0.0
2013-12-11,-0.0116,-0.0033,0.0007000000000000001,0.0
2013-12-12,-0.0024,0.0037,0.0023,0.0
2013-12-13,0.0009,0.0025,0.0001,0.0
2013-12-16,0.0067,0.0058,-0.0013,0.0
2013-12-17,-0.0025,0.0023,-0.0008,0.0
2013-12-18,0.0155,-0.0048,0.0005,0.0
2013-12-19,-0.001,-0.0055000000000000005,0.0024,0.0
2013-12-20,0.0069,0.0131,-0.003,0.0
2013-12-23,0.0062,0.0049,-0.0001,0.0
2013-12-24,0.0034000000000000002,0.001,0.0009,0.0
2013-12-26,0.0044,-0.0031,-0.0032,0.0
2013-12-27,-0.0005,-0.0006,0.0024,0.0
2013-12-30,0.0,0.0003,-0.003,0.0
2013-12-31,0.0043,-0.0018,0.0008,0.0
2014-01-02,-0.0088,-0.0028000000000000004,0.0017000000000000001,0.0
2014-01-03,0.0003,0.0037,0.0003,0.0
2014-01-06,-0.0034000000000000002,-0.005699999999999999,0.003,0.0
2014-01-07,0.0068000000000000005,0.0039000000000000003,-0.0038,0.0
2014-01-08,0.0004,-0.0002,-0.001,0.0
2014-01-09,0.0002,0.002,-0.0045000000000000005,0.0
2014-01-10,0.0027,0.0055000000000000005,-0.008100000000000001,0.0
2014-01-13,-0.0132,-0.0008,0.001,0.0
2014-01-14,0.0115,0.0015,-0.003,0.0
2014-01-15,0.0053,0.0022,0.0021,0.0
2014-01-16,-0.0007000000000000001,0.0032,-0.006999999999999999,0.0
2014-01-17,-0.0039000000000000003,0.0002,0.0003,0.0
2014-01-21,0.003,0.004699999999999999,0.0,0.0
2014-01-22,0.0015,0.003,0.0021,0.0
2014-01-23,-0.0086,0.0016,-0.0052,0.0
2014-01-24,-0.0218,-0.0037,0.0018,0.0
2014-01-27,-0.006500000000000001,-0.0084,0.0039000000000000003,0.0
2014-01-28,0.0073,0.0018,0.0003,0.0
2014-01-29,-0.010700000000000001,-0.0039000000000000003,0.0023,0.0
2014-01-30,0.012199999999999999,0.0029,-0.0038,0.0
2014-01-31,-0.0066,-0.0007000000000000001,-0.0032,0.0
2014-02-03,-0.0248,-0.0086,0.0029,0.0
2014-02-04,0.0077,-0.0002,-0.0005,0.0
2014-02-05,-0.0023,-0.0062,0.002,0.0
2014-02-06,0.012199999999999999,-0.004699999999999999,0.0028000000000000004,0.0
2014-02-07,0.013300000000000001,-0.0017000000000000001,-0.006500000000000001,0.0
2014-02-10,0.0016,0.0013,-0.004699999999999999,0.0
2014-02-11,0.0109,-0.0019,0.0024,0.0
2014-02-12,0.0011,0.0025,-0.0005,0.0
2014-02-13,0.0072,0.0070999999999999995,-0.0008,0.0
2014-02-14,0.0042,-0.0037,0.0037,0.0
2014-02-18,0.0027,0.0097,-0.0026,0.0
2014-02-19,-0.0073,-0.0028000000000000004,-0.0044,0.0
2014-02-20,0.0070999999999999995,0.005699999999999999,-0.0021,0.0
2014-02-21,-0.0009,0.0034000000000000002,-0.0003,0.0
2014-02-24,0.006500000000000001,0.0018,0.0033,0.0
2014-02-25,-0.001,0.0014000000000000002,-0.006,0.0
2014-02-26,0.0013,0.0068000000000000005,-0.0008,0.0
2014-02-27,0.0054,0.0014000000000000002,0.0,0.0
2014-02-28,0.0015,-0.0073,0.0084,0.0
2014-03-03,-0.006999999999999999,0.001,0.0014000000000000002,0.0
2014-03-04,0.0167,0.0111,-0.0013,0.0
2014-03-05,0.0001,-0.0026,0.0028000000000000004,0.0
2014-03-06,0.0016,-0.0032,0.0077,0.0
2014-03-07,0.0004,-0.0012,0.0052,0.0
2014-03-10,-0.0009,-0.001,0.0008,0.0
2014-03-11,-0.0062,-0.0053,-0.0019,0.0
2014-03-12,0.0013,0.003,-0.0017000000000000001,0.0
2014-03-13,-0.0121,-0.0012,0.0022,0.0
2014-03-14,-0.0016,0.0068000000000000005,-0.001,0.0
2014-03-17,0.009000000000000001,-0.0037,0.0002,0.0
2014-03-18,0.008199999999999999,0.0074,-0.0039000000000000003,0.0
2014-03-19,-0.0059,-0.0017000000000000001,0.0062,0.0
2014-03-20,0.0052,-0.0048,0.009899999999999999,0.0
2014-03-21,-0.0037,-0.0028000000000000004,0.0087,0.0
2014-03-24,-0.0064,-0.009000000000000001,0.0092,0.0
2014-03-25,0.0029,-0.0034999999999999996,0.0014000000000000002,0.0
2014-03-26,-0.0089,-0.011699999999999999,0.0026,0.0
2014-03-27,-0.0018,-0.001,-0.0034000000000000002,0.0
2014-03-28,0.0040999999999999995,-0.0044,0.0054,0.0
2014-03-31,0.0096,0.01,-0.0018,0.0
2014-04-01,0.0087,0.0074,-0.0037,0.0
2014-04-02,0.003,0.0003,0.0015,0.0
2014-04-03,-0.0031,-0.009000000000000001,0.008100000000000001,0.0
2014-04-04,-0.0147,-0.0113,0.006999999999999999,0.0
2014-04-07,-0.0125,-0.0029,-0.0005,0.0
2014-04-08,0.0049,0.0029,-0.0022,0.0
2014-04-09,0.0121,0.0033,-0.0086,0.0
2014-04-10,-0.022400000000000003,-0.0070999999999999995,0.0079,0.0
2014-04-11,-0.010700000000000001,-0.0039000000000000003,0.0024,0.0
2014-04-14,0.0070999999999999995,-0.0051,0.002,0.0
2014-04-15,0.006,-0.0037,0.0019,0.0
2014-04-16,0.011200000000000002,0.0006,-0.0037,0.0
2014-04-17,0.0023,0.0034999999999999996,0.0023,0.0
2014-04-21,0.0038,0.002,-0.0043,0.0
2014-04-22,0.005699999999999999,0.0073,-0.0034999999999999996,0.0
2014-04-23,-0.0031,-0.0064,0.0091,0.0
2014-04-24,0.0008,-0.004,-0.0016,0.0
2014-04-25,-0.0104,-0.0097,0.0055000000000000005,0.0
2014-04-28,0.0012,-0.0064,-0.0058,0.0
2014-04-29,0.005699999999999999,-0.0021,-0.0013,0.0
2014-04-30,0.0034999999999999996,0.0023,-0.0005,0.0
2014-05-01,0.0004,-0.0015,-0.0017000000000000001,0.0
2014-05-02,-0.0008,0.0021,0.0040999999999999995,0.0
2014-05-05,0.0013,-0.0028000000000000004,-0.0055000000000000005,0.0
2014-05-06,-0.0103,-0.005600000000000001,0.0014000000000000002,0.0
2014-05-07,0.0045000000000000005,-0.008199999999999999,0.0111,0.0
2014-05-08,-0.0026,-0.0101,0.0038,0.0
2014-05-09,0.0025,0.006999999999999999,-0.0036,0.0
2014-05-12,0.012,0.0141,-0.0027,0.0
2014-05-13,-0.0005,-0.010700000000000001,0.0022,0.0
2014-05-14,-0.006,-0.011000000000000001,-0.0046,0.0
2014-05-15,-0.009000000000000001,0.0034000000000000002,-0.0028000000000000004,0.0
2014-05-16,0.0036,0.0027,-0.0043,0.0
2014-05-19,0.005,0.0060999999999999995,0.0006,0.0
2014-05-20,-0.0078000000000000005,-0.0083,0.0023,0.0
2014-05-21,0.008100000000000001,-0.0028000000000000004,0.001,0.0
2014-05-22,0.0036,0.0064,-0.0027,0.0
2014-05-23,0.0049,0.0062,-0.0022,0.0
2014-05-27,0.0069,0.0069,-0.0014000000000000002,0.0
2014-05-28,-0.0012,-0.0029,0.0022,0.0
2014-05-29,0.0054,-0.0019,-0.0011,0.0
2014-05-30,0.0006,-0.0066,0.0026,0.0
2014-06-02,0.0006,-0.0069,0.0037,0.0
